path,width,height,mode,format,bytes,sha256,evidence_status
source/captures/tablet-10/04-comparison-raw.png,1920,1080,RGBA,PNG,2062832,8d4062cb66db2482953a6eba6452286c37126a0e8e80534c8d11296d09871cae,VERIFIED_SOURCE_OR_REAL_APP_OUTPUT
source/captures/tablet-7/01-batch-selected-raw.png,1920,1080,RGBA,PNG,154398,ee3560a411ba4f4c987de1ec5aab53cbf383f7c110f1af10d9f02e0218cce9b3,VERIFIED_SOURCE_OR_REAL_APP_OUTPUT
source/captures/tablet-7/02-batch-summary-raw.png,1920,1080,RGBA,PNG,77242,1160bbb1561739046c31841647ae5943ebec7ad808bb155d614346d4a88db68f,VERIFIED_SOURCE_OR_REAL_APP_OUTPUT
source/captures/tablet-7/03-background-removal-clean-raw.png,1920,1080,RGBA,PNG,850970,048a7c006fc3b384e84d42973ba84af1bc241b87e86e49ccda90c94a8e718c63,VERIFIED_SOURCE_OR_REAL_APP_OUTPUT
source/captures/tablet-7/03-background-removal-raw.png,1920,1080,RGBA,PNG,852768,49599e8d1b772fa4068273909730d8e20f37bcee060b9db7b59d5d6df48e407b,VERIFIED_SOURCE_OR_REAL_APP_OUTPUT
source/captures/tablet-7/04-comparison-raw.png,1920,1080,RGBA,PNG,1889083,1b063697dcd22256881d284869a3604f2cddc5978cf8d4b0c4444f7aea526d16,VERIFIED_SOURCE_OR_REAL_APP_OUTPUT
source/sample-images/blue-rowboat-original.png,1448,1086,RGB,PNG,3029345,793d2db2677b32538b038d285c62817820ecb058170c8b8defcc2995fa27ae09,VERIFIED_SOURCE_OR_REAL_APP_OUTPUT
source/sample-images/portrait-curly-hair-original.png,1122,1402,RGB,PNG,2683003,811dcacb040b08d684ab438876b3fa5cbbaa34fd269a17e2e9f7eed139088380,VERIFIED_SOURCE_OR_REAL_APP_OUTPUT
source/sample-images/real-app-results/background/portrait-blue.png,1122,1402,RGBA,PNG,2000946,0093d66c4cac0e9de0f92c444cf8cf21731a4d6cc2e3d705c134cd1387fc612f,DIAGNOSTIC_FAILED_EXPORT_EXCLUDED_FROM_FINAL_ASSETS
source/sample-images/real-app-results/background/portrait-green.png,1122,1402,RGBA,PNG,1996194,62f43eefaddf1ec817ad6d6b5a62cd9e2aed6f1d7391845aaf66444e28412657,VERIFIED_SOURCE_OR_REAL_APP_OUTPUT
source/sample-images/real-app-results/background/portrait-red.png,1122,1402,RGBA,PNG,2001123,806a274b9a6d01dae0db059a7c447462287dbe7b5e8ac1eee51b05b061c0ab3a,DIAGNOSTIC_FAILED_EXPORT_EXCLUDED_FROM_FINAL_ASSETS
source/sample-images/real-app-results/background/portrait-transparent.png,1122,1402,RGBA,PNG,2017965,561e4d5238412dcb4d4246abc6afd51e463fb067d560c1ed0886daeead41eddf,VERIFIED_SOURCE_OR_REAL_APP_OUTPUT
source/sample-images/real-app-results/background/portrait-white.png,1122,1402,RGBA,PNG,2015803,c3b99a6a7cfea1a55139fc5ca64cd9cb7025cd40534ce9555b55b7e29e58c818,VERIFIED_SOURCE_OR_REAL_APP_OUTPUT
source/sample-images/wildflower-still-life-original.png,1448,1086,RGB,PNG,2946511,332667533f62ec70a036abbddde9170be16cae4926ca2832cecf5a95c30a56d8,VERIFIED_SOURCE_OR_REAL_APP_OUTPUT
source/sample-images/real-app-results/compression/flowers-compressed.jpg,1448,1086,RGB,JPEG,300892,2a321cdcba70455649c3c0e3e93e6f7dd5562386b616a5ba3535164710e54197,VERIFIED_SOURCE_OR_REAL_APP_OUTPUT
source/sample-images/real-app-results/compression/lake-compressed.jpg,1448,1086,RGB,JPEG,341188,9120773f300ee00e1f5c3d003adea84bd15cf78cdef61948efd676fadbf1a2f8,VERIFIED_SOURCE_OR_REAL_APP_OUTPUT
source/sample-images/real-app-results/compression/portrait-compressed.jpg,1122,1402,RGB,JPEG,235719,66e24c65ced37c721125df6507a346b9c22c7e4a0a68440809bbe3bf7e362b56,VERIFIED_SOURCE_OR_REAL_APP_OUTPUT
